Date,AAPL,MSFT,AMZN,GOOGL,TSLA,NVDA
2023-12-08,-2.1320608279820723,-0.10388468787055206,-1.1379331998806488,-0.2074660563155223,-0.9465022061224498,0.3668819793897201
2023-12-11,-1.0462679219010274,0.5760496557905072,-0.13133154192707805,0.4478041623571191,-0.30383871072858964,0.9090628462675696
2023-12-12,-1.6285110511770413,-0.02088280320691104,-1.0887225754033445,0.752914597498921,0.49360526437419333,0.16276024569769298
2023-12-13,-2.5046277153483274,0.04303745334597662,-1.7629701517125504,0.706017896792065,-0.08764075597019884,-0.20044887879054915
2023-12-14,-2.161669492528883,1.9948839667753169,-0.7856817439451043,0.8746392402638389,-2.562328812257239,-0.41542252337527896
2023-12-15,-1.707196861035618,0.7837771937571013,-2.345348991066931,0.5607051217759197,-2.4610646285902766,-0.8548754664818822
2023-12-18,-1.0297452193435883,0.3760193072073903,-3.25949899454339,-0.629878401334124,-1.8862846925439674,-1.6483384394444047
2023-12-19,-1.2420839057163802,0.1826680480011157,-2.432221420620981,-0.9340143610971543,-2.258482462039525,-1.4062746742453114
2023-12-20,-0.4954321775883187,0.7830248238314339,-1.5972069586459643,-1.4858536394986812,-0.6755867707713186,-0.3679674468998144
2023-12-21,-0.3945943307466487,0.0322025606307491,-1.899481997405056,-2.0624615073887025,-1.581653385271994,-1.067943961597041
2023-12-22,0.023822222970243077,-0.2646467792532341,-1.542543473390394,-2.079956303891606,-1.1732319747023954,-0.8755413278708472
2023-12-26,0.28175607321142,-0.34912965758475045,-1.3738113135902685,-1.8317762282485786,-1.5702292050530302,-1.1523969625133659
2023-12-27,0.30759753063414097,-0.37603630586997827,-1.215178314219627,-1.40864790059894,-1.9198508723075083,-1.1521826093475873
2023-12-28,0.24713818036744734,-0.8993637465084877,-1.1065603003481408,-1.246561845234452,-0.8044128798023557,-1.1369613718235871
2023-12-29,0.7881887610447531,-1.3444357645781286,-0.6189453842298579,-1.0066615708376088,-0.1701726320373453,-1.0275756843327024
2024-01-02,2.882771409948224,0.5965588334043311,0.011624851392992392,-0.5658914263313846,-0.1050097490130849,-0.019937214917358607
